[2025-10-30 16:33:54,086] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0001 | Email: admin@example.com | Role: Admin | TempPassword: QsJhzGf1
[2025-10-30 16:34:43,695] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0020 | Email: sales.emp2@example.com | Role: Employee | TempPassword: t4foxKqL
[2025-10-30 16:34:46,241] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0021 | Email: sales.emp3@example.com | Role: Employee | TempPassword: qRgWRAkq
[2025-10-30 16:34:48,908] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0022 | Email: sales.emp4@example.com | Role: Employee | TempPassword: arm&Gw7*
[2025-10-30 16:34:51,448] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0023 | Email: sales.emp5@example.com | Role: Employee | TempPassword: NRLHk0xO
[2025-10-30 16:34:54,045] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0024 | Email: sales.emp6@example.com | Role: Employee | TempPassword: FxUQ@ioq
[2025-10-30 16:34:56,705] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0025 | Email: mkt.emp1@example.com | Role: Employee | TempPassword: 81zih$kf
[2025-10-30 16:34:59,501] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0026 | Email: mkt.emp2@example.com | Role: Employee | TempPassword: yrIKUxu7
[2025-10-30 16:35:07,074] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0027 | Email: mkt.emp3@example.com | Role: Employee | TempPassword: Sxf7k&3p
[2025-10-30 16:35:13,605] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0028 | Email: mkt.emp4@example.com | Role: Employee | TempPassword: wzUjd$Q8
[2025-10-30 16:35:18,583] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0029 | Email: mkt.emp5@example.com | Role: Employee | TempPassword: N%3k0SRw
[2025-10-30 16:35:22,362] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0030 | Email: mkt.emp6@example.com | Role: Employee | TempPassword: 6OgoqL@b
[2025-10-30 16:35:24,856] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0031 | Email: fin.emp1@example.com | Role: Employee | TempPassword: %dgf&CeZ
[2025-10-30 16:35:27,384] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0032 | Email: fin.emp2@example.com | Role: Employee | TempPassword: QA7B21PR
[2025-10-30 16:35:29,915] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0033 | Email: fin.emp3@example.com | Role: Employee | TempPassword: YwziyKLc
[2025-10-30 16:35:32,696] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0034 | Email: fin.emp4@example.com | Role: Employee | TempPassword: sL&vLfY0
[2025-10-30 16:35:35,241] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0035 | Email: fin.emp5@example.com | Role: Employee | TempPassword: TW1lbRDb
[2025-10-30 16:35:37,928] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0036 | Email: fin.emp6@example.com | Role: Employee | TempPassword: N7eW9Db6
